Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
05/01/2024,08:00,N,HB_HOUSTON,15.45
05/01/2024,08:00,N,HB_HUBAVG,14.61
05/01/2024,08:00,N,HB_NORTH,13.78
05/01/2024,08:00,N,HB_PAN,9.99
05/01/2024,08:00,N,HB_SOUTH,16.79
05/01/2024,08:00,N,HB_WEST,12.43
05/01/2024,08:00,N,LZ_AEN,16.15
05/01/2024,08:00,N,LZ_CPS,18.65
05/01/2024,08:00,N,LZ_HOUSTON,15.51
05/01/2024,08:00,N,LZ_LCRA,15.57
05/01/2024,08:00,N,LZ_NORTH,13.74
05/01/2024,08:00,N,LZ_RAYBN,13.71
05/01/2024,08:00,N,LZ_SOUTH,17.85
05/01/2024,08:00,N,LZ_WEST,14.43
05/01/2024,09:00,N,HB_BUSAVG,10.50
05/01/2024,09:00,N,HB_HOUSTON,12.27
05/01/2024,09:00,N,HB_HUBAVG,10.32
05/01/2024,09:00,N,HB_NORTH,10
05/01/2024,09:00,N,HB_PAN,5.83
05/01/2024,09:00,N,HB_SOUTH,12.97
05/01/2024,09:00,N,HB_WEST,6.07
05/01/2024,09:00,N,LZ_AEN,14.83
05/01/2024,09:00,N,LZ_CPS,12.90
05/01/2024,09:00,N,LZ_HOUSTON,12.30
05/01/2024,09:00,N,LZ_LCRA,13.96
05/01/2024,09:00,N,LZ_NORTH,10.11
05/01/2024,09:00,N,LZ_RAYBN,10.12
05/01/2024,09:00,N,LZ_SOUTH,13.46
05/01/2024,09:00,N,LZ_WEST,6.38
05/01/2024,10:00,N,HB_BUSAVG,10.77
05/01/2024,10:00,N,HB_HOUSTON,13.31
05/01/2024,10:00,N,HB_HUBAVG,10.28
05/01/2024,10:00,N,HB_NORTH,10.57
05/01/2024,10:00,N,HB_PAN,3.86
05/01/2024,10:00,N,HB_SOUTH,13.44
05/01/2024,10:00,N,HB_WEST,3.79
05/01/2024,10:00,N,LZ_AEN,15.30
05/01/2024,10:00,N,LZ_CPS,13.42
05/01/2024,10:00,N,LZ_HOUSTON,13.33
05/01/2024,10:00,N,LZ_LCRA,14.36
05/01/2024,10:00,N,LZ_NORTH,10.97
05/01/2024,10:00,N,LZ_RAYBN,11.09
05/01/2024,10:00,N,LZ_SOUTH,13.91
05/01/2024,10:00,N,LZ_WEST,4.43
05/01/2024,11:00,N,HB_BUSAVG,10.64
05/01/2024,11:00,N,HB_HOUSTON,14.08
05/01/2024,11:00,N,HB_HUBAVG,10.15
05/01/2024,11:00,N,HB_NORTH,10.23
05/01/2024,11:00,N,HB_PAN,2.46
05/01/2024,11:00,N,HB_SOUTH,13.87
05/01/2024,11:00,N,HB_WEST,2.43
05/01/2024,11:00,N,LZ_AEN,16.66
05/01/2024,11:00,N,LZ_CPS,14
05/01/2024,11:00,N,LZ_HOUSTON,14.09
05/01/2024,11:00,N,LZ_LCRA,15.20
05/01/2024,11:00,N,LZ_NORTH,10.87
05/01/2024,11:00,N,LZ_RAYBN,11.03
05/01/2024,11:00,N,LZ_SOUTH,14.95
05/01/2024,11:00,N,LZ_WEST,3.07
05/01/2024,12:00,N,HB_BUSAVG,10.83
05/01/2024,12:00,N,HB_HOUSTON,15.33
05/01/2024,12:00,N,HB_HUBAVG,10.69
05/01/2024,12:00,N,HB_NORTH,10
05/01/2024,12:00,N,HB_PAN,3.24
05/01/2024,12:00,N,HB_SOUTH,13.90
05/01/2024,12:00,N,HB_WEST,3.53
05/01/2024,12:00,N,LZ_AEN,19.84
05/01/2024,12:00,N,LZ_CPS,15.16
05/01/2024,12:00,N,LZ_HOUSTON,15.38
05/01/2024,12:00,N,LZ_LCRA,17.43
05/01/2024,12:00,N,LZ_NORTH,11.14
05/01/2024,12:00,N,LZ_RAYBN,11.33
05/01/2024,12:00,N,LZ_SOUTH,15.50
05/01/2024,12:00,N,LZ_WEST,4.86
05/01/2024,13:00,N,HB_BUSAVG,10.93
05/01/2024,13:00,N,HB_HOUSTON,16.52
05/01/2024,13:00,N,HB_HUBAVG,10.81
05/01/2024,13:00,N,HB_NORTH,10.02
05/01/2024,13:00,N,HB_PAN,2.40
05/01/2024,13:00,N,HB_SOUTH,13.97
05/01/2024,13:00,N,HB_WEST,2.72
05/01/2024,13:00,N,LZ_AEN,21.32
05/01/2024,13:00,N,LZ_CPS,16.11
05/01/2024,13:00,N,LZ_HOUSTON,16.60
05/01/2024,13:00,N,LZ_LCRA,18.86
05/01/2024,13:00,N,LZ_NORTH,11.48
05/01/2024,13:00,N,LZ_RAYBN,11.70
05/01/2024,13:00,N,LZ_SOUTH,16.05
05/01/2024,13:00,N,LZ_WEST,3.61
05/01/2024,14:00,N,HB_BUSAVG,10.96
05/01/2024,14:00,N,HB_HOUSTON,17.10
05/01/2024,14:00,N,HB_HUBAVG,10.74
05/01/2024,14:00,N,HB_NORTH,10
05/01/2024,14:00,N,HB_PAN,0.80
05/01/2024,14:00,N,HB_SOUTH,14.67
05/01/2024,14:00,N,HB_WEST,1.19
05/01/2024,14:00,N,LZ_AEN,23.58
05/01/2024,14:00,N,LZ_CPS,16.73
05/01/2024,14:00,N,LZ_HOUSTON,17.23
05/01/2024,14:00,N,LZ_LCRA,20.82
05/01/2024,14:00,N,LZ_NORTH,11.57
05/01/2024,14:00,N,LZ_RAYBN,11.75
05/01/2024,14:00,N,LZ_SOUTH,18.66
05/01/2024,14:00,N,LZ_WEST,2.38
05/01/2024,15:00,N,HB_BUSAVG,10.84
05/01/2024,15:00,N,HB_HOUSTON,18.09
05/01/2024,15:00,N,HB_HUBAVG,10.76
05/01/2024,15:00,N,HB_NORTH,9.47
05/01/2024,15:00,N,HB_PAN,-0.35
05/01/2024,15:00,N,HB_SOUTH,15.24
05/01/2024,15:00,N,HB_WEST,0.26
05/01/2024,15:00,N,LZ_AEN,25.26
05/01/2024,15:00,N,LZ_CPS,18.04
05/01/2024,15:00,N,LZ_HOUSTON,18.21
05/01/2024,15:00,N,LZ_LCRA,22.79
05/01/2024,15:00,N,LZ_NORTH,11.52
05/01/2024,15:00,N,LZ_RAYBN,11.62
05/01/2024,15:00,N,LZ_SOUTH,19.76
05/01/2024,15:00,N,LZ_WEST,1.52
05/01/2024,16:00,N,HB_BUSAVG,11.76
05/01/2024,16:00,N,HB_HOUSTON,19.44
05/01/2024,16:00,N,HB_HUBAVG,11.75
05/01/2024,16:00,N,HB_NORTH,10.15
05/01/2024,16:00,N,HB_PAN,-0.44
05/01/2024,16:00,N,HB_SOUTH,16.68
05/01/2024,16:00,N,HB_WEST,0.73
05/01/2024,16:00,N,LZ_AEN,28.60
05/01/2024,16:00,N,LZ_CPS,19.98
05/01/2024,16:00,N,LZ_HOUSTON,19.55
05/01/2024,16:00,N,LZ_LCRA,25.39
05/01/2024,16:00,N,LZ_NORTH,12.41
05/01/2024,16:00,N,LZ_RAYBN,12.47
05/01/2024,16:00,N,LZ_SOUTH,21.46
05/01/2024,16:00,N,LZ_WEST,2.78
05/01/2024,17:00,N,HB_BUSAVG,13.52
05/01/2024,17:00,N,HB_HOUSTON,22.14
05/01/2024,17:00,N,HB_HUBAVG,13.73
05/01/2024,17:00,N,HB_NORTH,11.28
05/01/2024,17:00,N,HB_PAN,0.28
05/01/2024,17:00,N,HB_SOUTH,19.65
05/01/2024,17:00,N,HB_WEST,1.86
05/01/2024,17:00,N,LZ_AEN,35.02
05/01/2024,17:00,N,LZ_CPS,24.07
05/01/2024,17:00,N,LZ_HOUSTON,22.21
05/01/2024,17:00,N,LZ_LCRA,30.78
05/01/2024,17:00,N,LZ_NORTH,13.86
05/01/2024,17:00,N,LZ_RAYBN,13.65
05/01/2024,17:00,N,LZ_SOUTH,23.98
05/01/2024,17:00,N,LZ_WEST,5.82
05/01/2024,18:00,N,HB_BUSAVG,15.36
05/01/2024,18:00,N,HB_HOUSTON,20.97
05/01/2024,18:00,N,HB_HUBAVG,14.86
05/01/2024,18:00,N,HB_NORTH,14.85
05/01/2024,18:00,N,HB_PAN,0.34
05/01/2024,18:00,N,HB_SOUTH,18.75
05/01/2024,18:00,N,HB_WEST,4.87
05/01/2024,18:00,N,LZ_AEN,29.96
05/01/2024,18:00,N,LZ_CPS,22.71
05/01/2024,18:00,N,LZ_HOUSTON,20.99
05/01/2024,18:00,N,LZ_LCRA,28.10
05/01/2024,18:00,N,LZ_NORTH,16.45
05/01/2024,18:00,N,LZ_RAYBN,16.44
05/01/2024,18:00,N,LZ_SOUTH,22.45
05/01/2024,18:00,N,LZ_WEST,8.61
05/01/2024,19:00,N,HB_BUSAVG,16.74
05/01/2024,19:00,N,HB_HOUSTON,21.09
05/01/2024,19:00,N,HB_HUBAVG,16.25
05/01/2024,19:00,N,HB_NORTH,16.36
05/01/2024,19:00,N,HB_PAN,0.59
05/01/2024,19:00,N,HB_SOUTH,19.79
05/01/2024,19:00,N,HB_WEST,7.74
05/01/2024,19:00,N,LZ_AEN,30.66
05/01/2024,19:00,N,LZ_CPS,25
05/01/2024,19:00,N,LZ_HOUSTON,21.11
05/01/2024,19:00,N,LZ_LCRA,28.78
05/01/2024,19:00,N,LZ_NORTH,17.22
05/01/2024,19:00,N,LZ_RAYBN,17.75
05/01/2024,19:00,N,LZ_SOUTH,21.14
05/01/2024,19:00,N,LZ_WEST,11.92
05/01/2024,20:00,N,HB_BUSAVG,33.06
05/01/2024,20:00,N,HB_HOUSTON,34.30
05/01/2024,20:00,N,HB_HUBAVG,32.62
05/01/2024,20:00,N,HB_NORTH,33.92
05/01/2024,20:00,N,HB_PAN,17.05
05/01/2024,20:00,N,HB_SOUTH,31.58
05/01/2024,20:00,N,HB_WEST,30.66
05/01/2024,20:00,N,LZ_AEN,38.41
05/01/2024,20:00,N,LZ_CPS,40.48
05/01/2024,20:00,N,LZ_HOUSTON,34.26
05/01/2024,20:00,N,LZ_LCRA,42.64
05/01/2024,20:00,N,LZ_NORTH,34.08
05/01/2024,20:00,N,LZ_RAYBN,35.04
05/01/2024,20:00,N,LZ_SOUTH,31.13
05/01/2024,20:00,N,LZ_WEST,34.99
05/01/2024,21:00,N,HB_BUSAVG,38.97
05/01/2024,21:00,N,HB_HOUSTON,39.31
05/01/2024,21:00,N,HB_HUBAVG,38.94
05/01/2024,21:00,N,HB_NORTH,39.56
05/01/2024,21:00,N,HB_PAN,27.12
05/01/2024,21:00,N,HB_SOUTH,36.79
05/01/2024,21:00,N,HB_WEST,40.09
05/01/2024,21:00,N,LZ_AEN,41.83
05/01/2024,21:00,N,LZ_CPS,44.85
05/01/2024,21:00,N,LZ_HOUSTON,39.26
05/01/2024,21:00,N,LZ_LCRA,45.17
